ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0044085	cellular component biogenesis	35/74	295/1313	1.02724807550888e-06	7.79110633739081e-05	6.33893144841287e-05	RRP8/EFG1/RPA12/BUD21/NEW1/BUD22/PIH1/BIM1/SSF1/NUP120/CDH1/NOP6/RPS21A/CIN8/CDC26/RTS1/LTV1/MFT1/SLX9/TMA23/DBP3/RSA3/ARX1/NAP1/THP2/SWM1/MCM21/MVB12/TOM1/NOP12/BUD20/RAD57/RAD55/LRP1/SAC3	35
BP	GO:0016072	rRNA metabolic process	13/74	49/1313	1.04578608555581e-06	7.79110633739081e-05	6.33893144841287e-05	RRP8/EFG1/BUD21/BUD22/PIH1/SSF1/NOP6/RPS21A/SLX9/DBP3/TOM1/NOP12/LRP1	13
BP	GO:0007059	chromosome segregation	18/74	96/1313	1.88190642375723e-06	0.000129417257141459	0.000105295331078239	BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/RTS1/NFI1/DCC1/CTF19/CTF18/MND2/TOP3/CTF8/SWM1/MCM21/MRC1	18
BP	GO:0051640	organelle localization	14/74	60/1313	2.10135833068253e-06	0.000134186739116441	0.00010917583507531	BIM1/NUP120/NFI1/LTV1/DCC1/SLX9/RTT107/JNM1/CTF18/ARX1/ESC1/CTF8/BUD20/MLP2	14
BP	GO:0000278	mitotic cell cycle	23/74	151/1313	2.43226254480451e-06	0.000144962847670349	0.000117943397786661	YBP2/BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/RTS1/DCC1/CTF19/JNM1/CTF18/MND2/TOP3/CTF8/SWM1/MCM21/MRC1/TOM1/DUN1/CLN1/SAC3	23
BP	GO:0050000	chromosome localization	8/74	20/1313	5.09663628812374e-06	0.000284774552598914	0.000231695768098257	NUP120/NFI1/DCC1/RTT107/CTF18/ESC1/CTF8/MLP2	8
BP	GO:1903047	mitotic cell cycle process	21/74	141/1313	1.13031141370716e-05	0.000594410825796587	0.000483619310756437	YBP2/BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/RTS1/DCC1/CTF19/JNM1/CTF18/MND2/TOP3/CTF8/SWM1/MCM21/MRC1/DUN1/CLN1	21
BP	GO:0031503	protein-containing complex localization	13/74	60/1313	1.2488609845903e-05	0.000620267622346518	0.000504656690264269	NEW1/NUP188/NUP120/LTV1/MFT1/SLX9/YKU70/ARX1/THP2/YKU80/BUD20/MLP2/SAC3	13
BP	GO:0071426	ribonucleoprotein complex export from nucleus	11/74	46/1313	2.34942127873422e-05	0.00101114933018504	0.000822682429245102	NEW1/NUP188/NUP120/LTV1/MFT1/SLX9/ARX1/THP2/BUD20/MLP2/SAC3	11
BP	GO:0051276	chromosome organization	33/74	305/1313	2.37074758607139e-05	0.00101114933018504	0.000822682429245102	IES3/BIM1/HMO1/CHL1/NUP120/ESC2/CGI121/EST1/CDH1/RMI1/UAF30/CIN8/CDC26/RTS1/DCC1/RAD18/CTF19/YKU70/CTF18/NAP1/MND2/THP2/TOP3/CTF8/SWM1/MCM21/YKU80/MRC1/MLP2/RAD57/RAD27/LRP1/SAC3	33
BP	GO:0006913	nucleocytoplasmic transport	14/74	73/1313	2.48828694228982e-05	0.00101114933018504	0.000822682429245102	NEW1/NUP188/NUP120/LTV1/MFT1/SLX9/ARX1/KAP120/NAP1/THP2/TOM1/BUD20/MLP2/SAC3	14
BP	GO:0051169	nuclear transport	14/74	73/1313	2.48828694228982e-05	0.00101114933018504	0.000822682429245102	NEW1/NUP188/NUP120/LTV1/MFT1/SLX9/ARX1/KAP120/NAP1/THP2/TOM1/BUD20/MLP2/SAC3	14
BP	GO:0071166	ribonucleoprotein complex localization	11/74	47/1313	2.92964672971862e-05	0.00113874094624715	0.000926492398277148	NEW1/NUP188/NUP120/LTV1/MFT1/SLX9/ARX1/THP2/BUD20/MLP2/SAC3	11
BP	GO:0034398	telomere tethering at nuclear periphery	6/74	13/1313	3.28428781220415e-05	0.00122339721004605	0.000995369683435556	NUP120/DCC1/CTF18/ESC1/CTF8/MLP2	6
BP	GO:0034470	ncRNA processing	14/74	75/1313	3.44592129388153e-05	0.00123226145469203	0.0010025817322409	RRP8/EFG1/BUD21/BUD22/PIH1/SSF1/CGI121/NOP6/RPS21A/SLX9/DBP3/TOM1/NOP12/LRP1	14
BP	GO:0030490	maturation of SSU-rRNA	6/74	14/1313	5.49180589820146e-05	0.00181839795296004	0.00147946895737123	EFG1/BUD21/BUD22/RPS21A/SLX9/TOM1	6
BP	GO:0034397	telomere localization	6/74	14/1313	5.49180589820146e-05	0.00181839795296004	0.00147946895737123	NUP120/DCC1/CTF18/ESC1/CTF8/MLP2	6
BP	GO:0022402	cell cycle process	29/74	260/1313	5.69589877668094e-05	0.0018186191094117	0.0014796488927393	EFG1/YBP2/BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/RTS1/NFI1/DCC1/CTF19/RTT107/JNM1/GPA2/CTF18/PMD1/MND2/TOP3/CTF8/SWM1/MCM21/MRC1/DUN1/MLP2/RAD57/RAD55/CLN1	29
BP	GO:0034660	ncRNA metabolic process	15/74	89/1313	6.20545466957956e-05	0.00191299188779453	0.00155643164307785	RRP8/EFG1/BUD21/BUD22/PIH1/SSF1/CGI121/NOP6/RPS21A/SLX9/DBP3/TOM1/NOP12/DBR1/LRP1	15
BP	GO:0051168	nuclear export	11/74	52/1313	8.0744670861594e-05	0.0024061911916755	0.0019577041251004	NEW1/NUP188/NUP120/LTV1/MFT1/SLX9/ARX1/THP2/BUD20/MLP2/SAC3	11
BP	GO:0033045	regulation of sister chromatid segregation	6/74	15/1313	8.74596437002403e-05	0.00248900628164427	0.00202508341059248	CDH1/CIN8/CDC26/CTF19/MND2/SWM1	6
BP	GO:0006259	DNA metabolic process	28/74	252/1313	8.90919474414056e-05	0.00248900628164427	0.00202508341059248	IES3/HMO1/CHL1/NUP120/ESC2/CGI121/EST1/RMI1/RTS1/MFT1/DCC1/RAD18/RTT107/YKU70/CTF18/MND2/THP2/TOP3/CTF8/MCM21/YKU80/MRC1/DUN1/POL32/RAD57/RAD27/RAD55/SAC3	28
BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5/74	10/1313	0.000100495661511221	0.00272251883003127	0.00221507183745627	EFG1/BUD21/RPS21A/SLX9/TOM1	5
BP	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4/74	6/1313	0.000128295345542979	0.00337341290927715	0.00274464655635289	SSF1/DBP3/TOM1/NOP12	4
BP	GO:0051983	regulation of chromosome segregation	6/74	16/1313	0.000133714823827456	0.00341545864290703	0.00277885543653451	CDH1/CIN8/CDC26/CTF19/MND2/SWM1	6
BP	GO:0000280	nuclear division	18/74	130/1313	0.000156169550631779	0.00387821050735585	0.00315535554054268	BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/RTS1/DCC1/CTF19/CTF18/MND2/TOP3/CTF8/SWM1/MCM21/MRC1/RAD55	18
BP	GO:0032200	telomere organization	10/74	47/1313	0.000167837545101707	0.00405531798164665	0.00329945216686428	IES3/NUP120/CGI121/EST1/YKU70/THP2/TOP3/YKU80/MRC1/RAD57	10
BP	GO:0048285	organelle fission	18/74	132/1313	0.000191693683252543	0.00449783669351961	0.00365949035113864	BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/RTS1/DCC1/CTF19/CTF18/MND2/TOP3/CTF8/SWM1/MCM21/MRC1/RAD55	18
BP	GO:0051641	cellular localization	29/74	277/1313	0.000196214352401862	0.00449783669351961	0.00365949035113864	NEW1/BIM1/NUP188/NUP120/RTS1/NFI1/LTV1/MFT1/DCC1/SLX9/CTF19/RTT107/JNM1/YKU70/CTF18/ARX1/ESC1/KAP120/NAP1/THP2/CTF8/MCM21/YKU80/MVB12/TOM1/BUD20/MLP2/LRP1/SAC3	29
BP	GO:0000478	endonucleolytic cleavage involved in rRNA processing	4/74	7/1313	0.000286580995821993	0.00516351163214172	0.00420109094290584	BUD21/RPS21A/DBP3/TOM1	4
BP	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4/74	7/1313	0.000286580995821993	0.00516351163214172	0.00420109094290584	BUD21/RPS21A/DBP3/TOM1	4
BP	GO:0000054	ribosomal subunit export from nucleus	5/74	12/1313	0.000288787004034772	0.00516351163214172	0.00420109094290584	NUP120/LTV1/SLX9/ARX1/BUD20	5
BP	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	5/74	12/1313	0.000288787004034772	0.00516351163214172	0.00420109094290584	CDH1/CDC26/CTF19/MND2/SWM1	5
BP	GO:0010965	regulation of mitotic sister chromatid separation	5/74	12/1313	0.000288787004034772	0.00516351163214172	0.00420109094290584	CDH1/CDC26/CTF19/MND2/SWM1	5
BP	GO:0030071	regulation of mitotic metaphase/anaphase transition	5/74	12/1313	0.000288787004034772	0.00516351163214172	0.00420109094290584	CDH1/CDC26/CTF19/MND2/SWM1	5
BP	GO:0033750	ribosome localization	5/74	12/1313	0.000288787004034772	0.00516351163214172	0.00420109094290584	NUP120/LTV1/SLX9/ARX1/BUD20	5
BP	GO:0044784	metaphase/anaphase transition of cell cycle	5/74	12/1313	0.000288787004034772	0.00516351163214172	0.00420109094290584	CDH1/CDC26/CTF19/MND2/SWM1	5
BP	GO:0051306	mitotic sister chromatid separation	5/74	12/1313	0.000288787004034772	0.00516351163214172	0.00420109094290584	CDH1/CDC26/CTF19/MND2/SWM1	5
BP	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	5/74	12/1313	0.000288787004034772	0.00516351163214172	0.00420109094290584	CDH1/CDC26/CTF19/MND2/SWM1	5
BP	GO:1905818	regulation of chromosome separation	5/74	12/1313	0.000288787004034772	0.00516351163214172	0.00420109094290584	CDH1/CDC26/CTF19/MND2/SWM1	5
BP	GO:0006396	RNA processing	17/74	126/1313	0.000345076075459502	0.00596577810533989	0.0048538239382902	RRP8/EFG1/BUD21/BUD22/PIH1/SSF1/CGI121/NOP6/RPS21A/MFT1/SLX9/DBP3/TOM1/NOP12/DBR1/LRP1/SAC3	17
BP	GO:0000723	telomere maintenance	9/74	42/1313	0.000347002753330732	0.00596577810533989	0.0048538239382902	IES3/CGI121/EST1/YKU70/THP2/TOP3/YKU80/MRC1/RAD57	9
BP	GO:0007049	cell cycle	31/74	316/1313	0.000371353975609007	0.00626397083385759	0.00509643688472342	EFG1/YBP2/BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/RTS1/NFI1/DCC1/CTF19/RTT107/JNM1/GPA2/CTF18/PMD1/MND2/TOP3/CTF8/SWM1/MCM21/MRC1/TOM1/DUN1/MLP2/RAD57/RAD55/CLN1/SAC3	31
BP	GO:0000460	maturation of 5.8S rRNA	5/74	13/1313	0.00044875208273023	0.0070383221396636	0.00572645778700995	BUD21/RPS21A/DBP3/TOM1/LRP1	5
BP	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5/74	13/1313	0.00044875208273023	0.0070383221396636	0.00572645778700995	BUD21/RPS21A/DBP3/TOM1/LRP1	5
BP	GO:0000469	cleavage involved in rRNA processing	5/74	13/1313	0.00044875208273023	0.0070383221396636	0.00572645778700995	BUD21/RPS21A/DBP3/TOM1/LRP1	5
BP	GO:0071428	rRNA-containing ribonucleoprotein complex export from nucleus	5/74	13/1313	0.00044875208273023	0.0070383221396636	0.00572645778700995	NUP120/LTV1/SLX9/ARX1/BUD20	5
BP	GO:0033044	regulation of chromosome organization	7/74	27/1313	0.000486041073586709	0.00749173654804341	0.00609536083209466	EST1/CDH1/CIN8/CDC26/CTF19/MND2/SWM1	7
BP	GO:0000470	maturation of LSU-rRNA	4/74	8/1313	0.000548734029170774	0.00804254702113573	0.00654350640716448	SSF1/DBP3/TOM1/NOP12	4
BP	GO:0035753	maintenance of DNA trinucleotide repeats	4/74	8/1313	0.000548734029170774	0.00804254702113573	0.00654350640716448	DCC1/CTF18/CTF8/RAD27	4
BP	GO:1901987	regulation of cell cycle phase transition	12/74	74/1313	0.000548764394059597	0.00804254702113573	0.00654350640716448	BIM1/ESC2/CDH1/CDC26/RTS1/CTF19/RTT107/MND2/SWM1/MRC1/DUN1/CLN1	12
BP	GO:0007093	mitotic cell cycle checkpoint signaling	8/74	36/1313	0.000586184493137017	0.00845240220749183	0.00687696918094531	BIM1/ESC2/CDH1/RTS1/CTF19/MND2/MRC1/DUN1	8
BP	GO:0007346	regulation of mitotic cell cycle	11/74	65/1313	0.000657451814982642	0.00932955432689653	0.00759062997749383	BIM1/ESC2/CDH1/CDC26/RTS1/CTF19/MND2/SWM1/MRC1/DUN1/CLN1	11
BP	GO:0042273	ribosomal large subunit biogenesis	6/74	21/1313	0.000722032489332211	0.0100858913353593	0.00820599424553549	RRP8/SSF1/DBP3/RSA3/TOM1/NOP12	6
BP	GO:0031577	spindle checkpoint signaling	5/74	15/1313	0.000957593322035405	0.0127774392522336	0.0103958678008871	BIM1/CDH1/RTS1/CTF19/MND2	5
BP	GO:0071174	mitotic spindle checkpoint signaling	5/74	15/1313	0.000957593322035405	0.0127774392522336	0.0103958678008871	BIM1/CDH1/RTS1/CTF19/MND2	5
BP	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	5/74	15/1313	0.000957593322035405	0.0127774392522336	0.0103958678008871	BUD21/RPS21A/DBP3/TOM1/DBR1	5
BP	GO:0006406	mRNA export from nucleus	7/74	31/1313	0.00119845623845837	0.0155278243069824	0.0126336119111325	NEW1/NUP188/NUP120/MFT1/THP2/MLP2/SAC3	7
BP	GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus	7/74	31/1313	0.00119845623845837	0.0155278243069824	0.0126336119111325	NEW1/NUP188/NUP120/MFT1/THP2/MLP2/SAC3	7
BP	GO:0051304	chromosome separation	5/74	16/1313	0.00133208354849356	0.0170126098907606	0.0138416501053993	CDH1/CDC26/CTF19/MND2/SWM1	5
BP	GO:0090501	RNA phosphodiester bond hydrolysis	7/74	32/1313	0.00146544180268443	0.0184521826985898	0.0150129026783534	RPA12/BUD21/RPS21A/DBP3/TOM1/DBR1/LRP1	7
BP	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3/74	5/1313	0.00158519214071672	0.0196828024138993	0.01601414867303	BUD21/RPS21A/TOM1	3
BP	GO:0045930	negative regulation of mitotic cell cycle	8/74	42/1313	0.00173495432762714	0.0212472488890228	0.0172869998614327	BIM1/ESC2/CDH1/RTS1/CTF19/MND2/MRC1/DUN1	8
BP	GO:0000226	microtubule cytoskeleton organization	7/74	34/1313	0.00213754354020835	0.0258238368235982	0.0210105631050351	YBP2/BIM1/CDH1/CIN8/JNM1/NAP1/MLP2	7
BP	GO:1901990	regulation of mitotic cell cycle phase transition	8/74	44/1313	0.00237631231968763	0.0281156630661577	0.0228752186255917	BIM1/CDH1/CDC26/RTS1/CTF19/MND2/SWM1/CLN1	8
BP	GO:0009314	response to radiation	5/74	18/1313	0.00239014585349887	0.0281156630661577	0.0228752186255917	RAD18/YKU70/YKU80/RAD57/RAD27	5
BP	GO:0000075	cell cycle checkpoint signaling	9/74	55/1313	0.00271658633875306	0.0314994906219547	0.0256283386550932	BIM1/ESC2/CDH1/RTS1/CTF19/RTT107/MND2/MRC1/DUN1	9
BP	GO:0051028	mRNA transport	8/74	45/1313	0.00276026829551648	0.0314994906219547	0.0256283386550932	NEW1/NUP188/NUP120/MFT1/THP2/TOM1/MLP2/SAC3	8
BP	GO:0015931	nucleobase-containing compound transport	10/74	66/1313	0.00284480086711379	0.0314994906219547	0.0256283386550932	NEW1/NUP188/NUP120/LTV1/MFT1/THP2/MVB12/TOM1/MLP2/SAC3	10
BP	GO:0006310	DNA recombination	14/74	113/1313	0.00296430841824024	0.0314994906219547	0.0256283386550932	IES3/ESC2/CGI121/MFT1/YKU70/CTF18/MND2/THP2/TOP3/MCM21/YKU80/POL32/RAD57/RAD55	14
BP	GO:0007017	microtubule-based process	7/74	36/1313	0.00302722919065031	0.0314994906219547	0.0256283386550932	YBP2/BIM1/CDH1/CIN8/JNM1/NAP1/MLP2	7
BP	GO:0051656	establishment of organelle localization	7/74	36/1313	0.00302722919065031	0.0314994906219547	0.0256283386550932	BIM1/NUP120/LTV1/SLX9/JNM1/ARX1/BUD20	7
BP	GO:0010212	response to ionizing radiation	3/74	6/1313	0.00304208893589046	0.0314994906219547	0.0256283386550932	YKU70/YKU80/RAD57	3
BP	GO:0031145	anaphase-promoting complex-dependent catabolic process	3/74	6/1313	0.00304208893589046	0.0314994906219547	0.0256283386550932	CDH1/CDC26/MND2	3
BP	GO:0000056	ribosomal small subunit export from nucleus	2/74	2/1313	0.00313585533037357	0.0314994906219547	0.0256283386550932	LTV1/SLX9	2
BP	GO:0010165	response to X-ray	2/74	2/1313	0.00313585533037357	0.0314994906219547	0.0256283386550932	YKU70/YKU80	2
BP	GO:0010332	response to gamma radiation	2/74	2/1313	0.00313585533037357	0.0314994906219547	0.0256283386550932	YKU70/YKU80	2
BP	GO:0071480	cellular response to gamma radiation	2/74	2/1313	0.00313585533037357	0.0314994906219547	0.0256283386550932	YKU70/YKU80	2
BP	GO:0071481	cellular response to X-ray	2/74	2/1313	0.00313585533037357	0.0314994906219547	0.0256283386550932	YKU70/YKU80	2
BP	GO:0000973	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	4/74	12/1313	0.00326185225236034	0.0320450100396719	0.0260721793682012	NUP120/MLP2/LRP1/SAC3	4
BP	GO:0033047	regulation of mitotic sister chromatid segregation	4/74	12/1313	0.00326185225236034	0.0320450100396719	0.0260721793682012	CDH1/CIN8/CTF19/MND2	4
BP	GO:1901988	negative regulation of cell cycle phase transition	9/74	57/1313	0.00350496514786447	0.0340591178499004	0.0277108800592031	BIM1/ESC2/CDH1/RTS1/CTF19/RTT107/MND2/MRC1/DUN1	9
BP	GO:0043570	maintenance of DNA repeat elements	5/74	20/1313	0.0039568885071781	0.0380371862948088	0.0309474811370692	DCC1/CTF18/CTF8/MRC1/RAD27	5
BP	GO:0006405	RNA export from nucleus	7/74	38/1313	0.00417724953513018	0.0397283094085785	0.0323233978586221	NEW1/NUP188/NUP120/MFT1/THP2/MLP2/SAC3	7
BP	GO:0006403	RNA localization	9/74	59/1313	0.00446414134555535	0.0417097490732392	0.0339355193802052	NEW1/NUP188/NUP120/MFT1/THP2/TOM1/MLP2/LRP1/SAC3	9
BP	GO:0010564	regulation of cell cycle process	14/74	118/1313	0.00447889922934112	0.0417097490732392	0.0339355193802052	BIM1/ESC2/CDH1/CIN8/CDC26/RTS1/CTF19/RTT107/MND2/SWM1/MCM21/MRC1/DUN1/CLN1	14
BP	GO:0051301	cell division	12/74	94/1313	0.00474488027394502	0.0437311645866685	0.035580165700445	BIM1/CDH1/RMI1/CIN8/CDC26/RTS1/CTF19/NAP1/MND2/SWM1/MCM21/CLN1	12
BP	GO:0010948	negative regulation of cell cycle process	10/74	71/1313	0.0049414329792274	0.0448605679333626	0.0364990609230585	BIM1/ESC2/CDH1/RTS1/CTF19/RTT107/MND2/MCM21/MRC1/DUN1	10
BP	GO:0007051	spindle organization	5/74	21/1313	0.00496778101275492	0.0448605679333626	0.0364990609230585	YBP2/BIM1/CDH1/CIN8/JNM1	5
BP	GO:0050657	nucleic acid transport	8/74	50/1313	0.00546399865204495	0.047890341126747	0.038964118354624	NEW1/NUP188/NUP120/MFT1/THP2/TOM1/MLP2/SAC3	8
BP	GO:0050658	RNA transport	8/74	50/1313	0.00546399865204495	0.047890341126747	0.038964118354624	NEW1/NUP188/NUP120/MFT1/THP2/TOM1/MLP2/SAC3	8
BP	GO:0051236	establishment of RNA localization	8/74	50/1313	0.00546399865204495	0.047890341126747	0.038964118354624	NEW1/NUP188/NUP120/MFT1/THP2/TOM1/MLP2/SAC3	8
CC	GO:0030684	preribosome	14/74	31/1315	1.15323259679365e-10	1.81057517696604e-08	1.4809934400929e-08	RRP8/EFG1/BUD21/BUD22/HMO1/SSF1/NOP6/LTV1/SLX9/DBP3/RSA3/ARX1/NOP12/BUD20	14
CC	GO:0005730	nucleolus	19/74	79/1315	1.16590850729827e-08	9.1523817822914e-07	7.48635988896782e-07	RRP8/EFG1/RPA12/BUD21/BUD22/HMO1/SSF1/EST1/NOP6/UAF30/SLX9/TMA23/DBP3/RSA3/ARX1/TOM1/NOP12/RAD27/LRP1	19
CC	GO:0031981	nuclear lumen	32/74	246/1315	4.44570751985643e-07	2.17417920171122e-05	1.77841007448052e-05	RRP8/EFG1/RPA12/IES3/BUD21/BUD22/HMO1/SSF1/EST1/RMI1/NOP6/UAF30/MFT1/DCC1/SLX9/TMA23/CTF19/DBP3/CTF18/RSA3/ELA1/ARX1/ESC1/THP2/MCM21/MRC1/TOM1/NOP12/POL32/MLP2/RAD27/LRP1	32
CC	GO:1990904	ribonucleoprotein complex	18/74	89/1315	5.53931006805407e-07	2.17417920171122e-05	1.77841007448052e-05	RRP8/EFG1/BUD21/NEW1/BUD22/PIH1/HMO1/SSF1/EST1/NOP6/RPS21A/LTV1/SLX9/DBP3/RSA3/ARX1/NOP12/BUD20	18
CC	GO:0043228	non-membrane-bounded organelle	42/74	405/1315	1.66630120599166e-06	4.36015482234485e-05	3.56646924791198e-05	RRP8/EFG1/RPA12/IES3/BUD21/BUD22/BIM1/HMO1/SSF1/CGI121/EST1/RMI1/NOP6/UAF30/RPS21A/CIN8/RTS1/MFT1/DCC1/SLX9/TMA23/CTF19/JNM1/DBP3/YKU70/CTF18/RSA3/ARX1/NAP1/TOP3/CTF8/MCM21/YKU80/MRC1/TOM1/NOP12/POL32/MLP2/RAD27/RAD55/LRP1/PSH1	42
CC	GO:0043232	intracellular non-membrane-bounded organelle	42/74	405/1315	1.66630120599166e-06	4.36015482234485e-05	3.56646924791198e-05	RRP8/EFG1/RPA12/IES3/BUD21/BUD22/BIM1/HMO1/SSF1/CGI121/EST1/RMI1/NOP6/UAF30/RPS21A/CIN8/RTS1/MFT1/DCC1/SLX9/TMA23/CTF19/JNM1/DBP3/YKU70/CTF18/RSA3/ARX1/NAP1/TOP3/CTF8/MCM21/YKU80/MRC1/TOM1/NOP12/POL32/MLP2/RAD27/RAD55/LRP1/PSH1	42
CC	GO:0031974	membrane-enclosed lumen	32/74	272/1315	5.01460709409056e-06	8.74770348635798e-05	7.15534579507659e-05	RRP8/EFG1/RPA12/IES3/BUD21/BUD22/HMO1/SSF1/EST1/RMI1/NOP6/UAF30/MFT1/DCC1/SLX9/TMA23/CTF19/DBP3/CTF18/RSA3/ELA1/ARX1/ESC1/THP2/MCM21/MRC1/TOM1/NOP12/POL32/MLP2/RAD27/LRP1	32
CC	GO:0043233	organelle lumen	32/74	272/1315	5.01460709409056e-06	8.74770348635798e-05	7.15534579507659e-05	RRP8/EFG1/RPA12/IES3/BUD21/BUD22/HMO1/SSF1/EST1/RMI1/NOP6/UAF30/MFT1/DCC1/SLX9/TMA23/CTF19/DBP3/CTF18/RSA3/ELA1/ARX1/ESC1/THP2/MCM21/MRC1/TOM1/NOP12/POL32/MLP2/RAD27/LRP1	32
CC	GO:0070013	intracellular organelle lumen	32/74	272/1315	5.01460709409056e-06	8.74770348635798e-05	7.15534579507659e-05	RRP8/EFG1/RPA12/IES3/BUD21/BUD22/HMO1/SSF1/EST1/RMI1/NOP6/UAF30/MFT1/DCC1/SLX9/TMA23/CTF19/DBP3/CTF18/RSA3/ELA1/ARX1/ESC1/THP2/MCM21/MRC1/TOM1/NOP12/POL32/MLP2/RAD27/LRP1	32
CC	GO:0031390	Ctf18 RFC-like complex	3/74	3/1315	0.000171435687002453	0.00269154028593851	0.00220159513834729	DCC1/CTF18/CTF8	3
CC	GO:0005680	anaphase-promoting complex	4/74	7/1315	0.000284897640251365	0.0037514427150474	0.00306856192581819	CDH1/CDC26/MND2/SWM1	4
CC	GO:0030686	90S preribosome	5/74	12/1315	0.00028673447503547	0.0037514427150474	0.00306856192581819	RRP8/BUD21/BUD22/NOP6/SLX9	5
CC	GO:0098687	chromosomal region	13/74	84/1315	0.000497602958644708	0.00600951265440147	0.00491559198013396	RRP8/IES3/CGI121/EST1/RTS1/MFT1/DCC1/CTF19/YKU70/MCM21/YKU80/MRC1/PSH1	13
CC	GO:0030688	preribosome, small subunit precursor	3/74	4/1315	0.000657910582360785	0.00737799724504595	0.00603496925173051	EFG1/LTV1/SLX9	3
