ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0071166	ribonucleoprotein complex localization	9/39	48/1472	1.95830665208829e-06	8.3927427946641e-05	6.5669531340705e-05	YKL143W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	9
BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5/39	10/1472	2.30082865704053e-06	9.20331462816212e-05	7.2011900423865e-05	YOR078W/YGR271C-A/YLR048W/YKR057W/YLR435W	5
BP	GO:0006405	RNA export from nucleus	8/39	39/1472	3.90285316877902e-06	0.000146356993829213	0.000114517928504963	YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	8
BP	GO:0007059	chromosome segregation	12/39	101/1472	4.700495201222e-06	0.000156894164472577	0.000122762802376788	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W/YMR190C	12
BP	GO:0051168	nuclear export	9/39	53/1472	4.70682493417731e-06	0.000156894164472577	0.000122762802376788	YKL143W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	9
BP	GO:0006406	mRNA export from nucleus	7/39	32/1472	1.08921251868719e-05	0.000289117357193277	0.000226221651417897	YML062C/YKL057C/YML103C/YAR002W/YDR159W/YOL072W/YHR167W	7
BP	GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus	7/39	32/1472	1.08921251868719e-05	0.000289117357193277	0.000226221651417897	YML062C/YKL057C/YML103C/YAR002W/YDR159W/YOL072W/YHR167W	7
BP	GO:0006913	nucleocytoplasmic transport	10/39	74/1472	1.09727451311994e-05	0.000289117357193277	0.000226221651417897	YPL125W/YKL143W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	10
BP	GO:0051169	nuclear transport	10/39	74/1472	1.09727451311994e-05	0.000289117357193277	0.000226221651417897	YPL125W/YKL143W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	10
BP	GO:0034398	telomere tethering at nuclear periphery	5/39	13/1472	1.10828320257423e-05	0.000289117357193277	0.000226221651417897	YMR078C/YHR191C/YCL016C/YKL057C/YAR002W	5
BP	GO:0034397	telomere localization	5/39	14/1472	1.69069702918981e-05	0.000410458159898613	0.000321165507569792	YMR078C/YHR191C/YCL016C/YKL057C/YAR002W	5
BP	GO:0006364	rRNA processing	8/39	47/1472	1.71024233291089e-05	0.000410458159898613	0.000321165507569792	YOR078W/YMR014W/YGR271C-A/YHR034C/YLR048W/YKR057W/YDR083W/YLR435W	8
BP	GO:0031503	protein-containing complex localization	9/39	62/1472	1.81588902051944e-05	0.000419051312427564	0.000327889272531041	YKL143W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	9
BP	GO:0000278	mitotic cell cycle	14/39	157/1472	1.96737548798133e-05	0.000437194552884739	0.00034208556243262	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W/YDR159W/YMR190C/YOL072W	14
BP	GO:0000280	nuclear division	13/39	137/1472	2.19838831509399e-05	0.000471083210377283	0.000368601950575909	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YML032C/YPL024W/YMR190C	13
BP	GO:0048285	organelle fission	13/39	140/1472	2.79730096472494e-05	0.000578751923736194	0.000452847996467268	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YML032C/YPL024W/YMR190C	13
BP	GO:0050657	nucleic acid transport	8/39	51/1472	3.20615012435264e-05	0.00060115314831612	0.00047037597219121	YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	8
BP	GO:0050658	RNA transport	8/39	51/1472	3.20615012435264e-05	0.00060115314831612	0.00047037597219121	YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	8
BP	GO:0051236	establishment of RNA localization	8/39	51/1472	3.20615012435264e-05	0.00060115314831612	0.00047037597219121	YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	8
BP	GO:0015931	nucleobase-containing compound transport	9/39	67/1472	3.4794439939731e-05	0.000632626180722382	0.000495002239652952	YKL143W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	9
BP	GO:1903047	mitotic cell cycle process	13/39	147/1472	4.78537942470565e-05	0.00084447872200688	0.000660767561429944	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W/YMR190C/YOL072W	13
BP	GO:0016072	rRNA metabolic process	8/39	54/1472	4.94410118599064e-05	0.000847560203312681	0.000663178685399045	YOR078W/YMR014W/YGR271C-A/YHR034C/YLR048W/YKR057W/YDR083W/YLR435W	8
BP	GO:0006403	RNA localization	8/39	60/1472	0.000108267651153414	0.0018044608525569	0.00141191147410592	YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	8
BP	GO:0050000	chromosome localization	5/39	20/1472	0.000116472891209048	0.00188874958717375	0.00147786371206929	YMR078C/YHR191C/YCL016C/YKL057C/YAR002W	5
BP	GO:0051028	mRNA transport	7/39	46/1472	0.000131891605588441	0.00208249903560696	0.00162946415768545	YML062C/YKL057C/YML103C/YAR002W/YDR159W/YOL072W/YHR167W	7
BP	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3/39	5/1472	0.000165998737923128	0.00255382673727889	0.00199825741197611	YOR078W/YLR048W/YKR057W	3
BP	GO:0034085	establishment of sister chromatid cohesion	4/39	12/1472	0.000179163622295835	0.00268745433443753	0.00210281514589322	YPL008W/YPL018W/YPR135W/YDR318W	4
BP	GO:0000973	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	4/39	13/1472	0.000253866195749209	0.00371511505974453	0.00290691459060712	YKL057C/YAR002W/YDR159W/YOL072W	4
BP	GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	4/39	15/1472	0.000466387800623756	0.00666268286605366	0.00521325711975427	YKL057C/YAR002W/YDR159W/YOL072W	4
BP	GO:0051641	cellular localization	17/39	290/1472	0.000485512874929425	0.00667271033349808	0.00522110317322832	YER016W/YMR078C/YPL018W/YHR191C/YCL016C/YPL125W/YKL143W/YDR318W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W/YER151C	17
BP	GO:0006396	RNA processing	11/39	136/1472	0.000489332091123192	0.00667271033349808	0.00522110317322832	YOR078W/YMR014W/YGR271C-A/YML062C/YHR034C/YLR048W/YKR057W/YDR083W/YDR159W/YOL072W/YLR435W	11
BP	GO:0044085	cellular component biogenesis	18/39	322/1472	0.00054914831841216	0.00699840006077886	0.00547594110018837	YER016W/YOR078W/YMR014W/YEL061C/YGR271C-A/YKL143W/YDR318W/YML062C/YKL057C/YHR034C/YML032C/YJR063W/YLR048W/YKR057W/YDR083W/YDR159W/YHR167W/YLR435W	18
BP	GO:0000478	endonucleolytic cleavage involved in rRNA processing	3/39	7/1472	0.000559872004862309	0.00699840006077886	0.00547594110018837	YOR078W/YLR048W/YKR057W	3
BP	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3/39	7/1472	0.000559872004862309	0.00699840006077886	0.00547594110018837	YOR078W/YLR048W/YKR057W	3
BP	GO:0031990	mRNA export from nucleus in response to heat stress	3/39	7/1472	0.000559872004862309	0.00699840006077886	0.00547594110018837	YKL057C/YML103C/YAR002W	3
BP	GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2/39	2/1472	0.000684427925398279	0.0083807501069177	0.00655756938190403	YLR048W/YKR057W	2
BP	GO:0006265	DNA topological change	3/39	8/1472	0.000879377957013376	0.0100383106465501	0.00785453780414272	YDR174W/YPL024W/YMR190C	3
BP	GO:0006611	protein export from nucleus	3/39	8/1472	0.000879377957013376	0.0100383106465501	0.00785453780414272	YKL057C/YAR002W/YDR159W	3
BP	GO:0035753	maintenance of DNA trinucleotide repeats	3/39	8/1472	0.000879377957013376	0.0100383106465501	0.00785453780414272	YMR078C/YHR191C/YCL016C	3
BP	GO:0000724	double-strand break repair via homologous recombination	6/39	45/1472	0.00088671744044526	0.0100383106465501	0.00785453780414272	YMR078C/YPR135W/YDR363W/YML032C/YMR190C/YHR134W	6
BP	GO:0051640	organelle localization	7/39	63/1472	0.000978049269293411	0.0108672141032601	0.00850311840360354	YER016W/YMR078C/YHR191C/YCL016C/YKL143W/YKL057C/YAR002W	7
BP	GO:0034470	ncRNA processing	8/39	84/1472	0.00115750381291886	0.0126273143227512	0.00988031962797727	YOR078W/YMR014W/YGR271C-A/YHR034C/YLR048W/YKR057W/YDR083W/YLR435W	8
BP	GO:0006281	DNA repair	12/39	178/1472	0.00138157749723643	0.0148026160418189	0.0115823978151776	YPL008W/YMR078C/YPR135W/YDR363W/YKL057C/YAR002W/YCR066W/YML032C/YDR159W/YMR190C/YOL072W/YHR134W	12
BP	GO:0006302	double-strand break repair	8/39	87/1472	0.00146333901500308	0.0154035685789798	0.0120526168179386	YMR078C/YPR135W/YDR363W/YKL057C/YAR002W/YML032C/YMR190C/YHR134W	8
BP	GO:0000725	recombinational repair	6/39	50/1472	0.00156849663768616	0.0162258272864086	0.0126959981925232	YMR078C/YPR135W/YDR363W/YML032C/YMR190C/YHR134W	6
BP	GO:0006974	cellular response to DNA damage stimulus	13/39	208/1472	0.00168542371441264	0.0171399021804675	0.0134112217061202	YPL008W/YMR078C/YPR135W/YDR363W/YKL057C/YAR002W/YCR066W/YML032C/YPL024W/YDR159W/YMR190C/YOL072W/YHR134W	13
BP	GO:0000709	meiotic joint molecule formation	2/39	3/1472	0.00201882958131084	0.0201882958131084	0.0157964560221866	YML032C/YMR190C	2
BP	GO:0022402	cell cycle process	15/39	272/1472	0.00241877759713874	0.0237912550538236	0.0186156136035181	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YGR271C-A/YDR363W/YDR318W/YML032C/YPL024W/YMR190C/YOL072W	15
BP	GO:0046907	intracellular transport	12/39	190/1472	0.00247123646536962	0.0239151916003511	0.0187125885153624	YER016W/YPL125W/YKL143W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W/YER151C	12
BP	GO:0006310	DNA recombination	9/39	117/1472	0.00256610477979016	0.0243299495251294	0.0190371184003644	YMR078C/YPR135W/YDR363W/YDR318W/YML062C/YML032C/YMR190C/YHR167W/YHR134W	9
BP	GO:0031123	RNA 3'-end processing	4/39	23/1472	0.0025951946160138	0.0243299495251294	0.0190371184003644	YLR048W/YKR057W/YDR159W/YOL072W	4
BP	GO:0051649	establishment of localization in cell	12/39	196/1472	0.00323967857524659	0.0299047253099685	0.0233991359442912	YER016W/YPL125W/YKL143W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W/YER151C	12
BP	GO:0034660	ncRNA metabolic process	8/39	99/1472	0.00339135681612634	0.0308305165102395	0.024123526953626	YOR078W/YMR014W/YGR271C-A/YHR034C/YLR048W/YKR057W/YDR083W/YLR435W	8
BP	GO:0000460	maturation of 5.8S rRNA	3/39	13/1472	0.00409523852844052	0.0351020445294902	0.0274658102809695	YOR078W/YLR048W/YKR057W	3
BP	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3/39	13/1472	0.00409523852844052	0.0351020445294902	0.0274658102809695	YOR078W/YLR048W/YKR057W	3
BP	GO:0000469	cleavage involved in rRNA processing	3/39	13/1472	0.00409523852844052	0.0351020445294902	0.0274658102809695	YOR078W/YLR048W/YKR057W	3
BP	GO:0071428	rRNA-containing ribonucleoprotein complex export from nucleus	3/39	13/1472	0.00409523852844052	0.0351020445294902	0.0274658102809695	YKL143W/YKL057C/YLR048W	3
BP	GO:0006606	protein import into nucleus	4/39	28/1472	0.0054532030250875	0.0460834058458098	0.0360582438723354	YPL125W/YKL057C/YML103C/YAR002W	4
BP	GO:0051179	localization	17/39	358/1472	0.0058137873265686	0.048448227721405	0.0379086132697309	YER016W/YMR078C/YPL018W/YHR191C/YCL016C/YPL125W/YKL143W/YDR318W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W/YER151C	17
CC	GO:0031390	Ctf18 RFC-like complex	3/39	3/1474	1.71570211779706e-05	0.00185295828722083	0.00124614153818944	YMR078C/YHR191C/YCL016C	3
CC	GO:1990904	ribonucleoprotein complex	10/39	91/1474	7.04794524452406e-05	0.0034100840286538	0.00229333136429934	YOR078W/YMR014W/YGR271C-A/YIL009C-A/YDR174W/YKL143W/YHR034C/YLR048W/YKR057W/YDR083W	10
CC	GO:0031981	nuclear lumen	17/39	259/1474	0.000111340036467301	0.0034100840286538	0.00229333136429934	YOR078W/YMR014W/YMR078C/YPL018W/YPR135W/YCL016C/YGR271C-A/YDR174W/YDR318W/YML062C/YML032C/YPL024W/YJR063W/YDR083W/YMR190C/YHR167W/YOR295W	17
CC	GO:0030684	preribosome	6/39	32/1474	0.000126299408468659	0.0034100840286538	0.00229333136429934	YOR078W/YMR014W/YGR271C-A/YDR174W/YKL143W/YDR083W	6
CC	GO:0043228	non-membrane-bounded organelle	22/39	430/1474	0.000288951784246913	0.00520113211644444	0.00349783738825211	YER016W/YOR078W/YMR014W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YGR271C-A/YIL009C-A/YDR174W/YDR318W/YML062C/YML032C/YPL024W/YJR063W/YLR048W/YKR057W/YDR083W/YMR190C/YOR295W	22
CC	GO:0043232	intracellular non-membrane-bounded organelle	22/39	430/1474	0.000288951784246913	0.00520113211644444	0.00349783738825211	YER016W/YOR078W/YMR014W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YGR271C-A/YIL009C-A/YDR174W/YDR318W/YML062C/YML032C/YPL024W/YJR063W/YLR048W/YKR057W/YDR083W/YMR190C/YOR295W	22
CC	GO:0031974	membrane-enclosed lumen	17/39	292/1474	0.00052031015453438	0.00614314098826364	0.00413135212661005	YOR078W/YMR014W/YMR078C/YPL018W/YPR135W/YCL016C/YGR271C-A/YDR174W/YDR318W/YML062C/YML032C/YPL024W/YJR063W/YDR083W/YMR190C/YHR167W/YOR295W	17
CC	GO:0043233	organelle lumen	17/39	292/1474	0.00052031015453438	0.00614314098826364	0.00413135212661005	YOR078W/YMR014W/YMR078C/YPL018W/YPR135W/YCL016C/YGR271C-A/YDR174W/YDR318W/YML062C/YML032C/YPL024W/YJR063W/YDR083W/YMR190C/YHR167W/YOR295W	17
CC	GO:0070013	intracellular organelle lumen	17/39	292/1474	0.00052031015453438	0.00614314098826364	0.00413135212661005	YOR078W/YMR014W/YMR078C/YPL018W/YPR135W/YCL016C/YGR271C-A/YDR174W/YDR318W/YML062C/YML032C/YPL024W/YJR063W/YDR083W/YMR190C/YHR167W/YOR295W	17
CC	GO:0000446	nucleoplasmic THO complex	2/39	2/1474	0.000682571220918182	0.00614314098826364	0.00413135212661005	YML062C/YHR167W	2
CC	GO:0000817	COMA complex	2/39	2/1474	0.000682571220918182	0.00614314098826364	0.00413135212661005	YPL018W/YDR318W	2
CC	GO:0032040	small-subunit processome	2/39	2/1474	0.000682571220918182	0.00614314098826364	0.00413135212661005	YOR078W/YDR174W	2
CC	GO:0005730	nucleolus	8/39	87/1474	0.00145056634163952	0.012050858838236	0.0081043787508605	YOR078W/YMR014W/YGR271C-A/YDR174W/YJR063W/YDR083W/YMR190C/YOR295W	8
CC	GO:0005635	nuclear envelope	7/39	70/1474	0.00183324101957234	0.0120803977223916	0.00812424408231017	YPL125W/YKL057C/YML103C/YAR002W/YDR159W/YOL072W/YHR134W	7
CC	GO:0000346	transcription export complex	2/39	3/1474	0.00201339962039861	0.0120803977223916	0.00812424408231017	YML062C/YHR167W	2
CC	GO:0000347	THO complex	2/39	3/1474	0.00201339962039861	0.0120803977223916	0.00812424408231017	YML062C/YHR167W	2
CC	GO:0000445	THO complex part of transcription export complex	2/39	3/1474	0.00201339962039861	0.0120803977223916	0.00812424408231017	YML062C/YHR167W	2
CC	GO:0031422	RecQ family helicase-topoisomerase III complex	2/39	3/1474	0.00201339962039861	0.0120803977223916	0.00812424408231017	YPL024W/YMR190C	2
CC	GO:0005643	nuclear pore	4/39	23/1474	0.00258241443198379	0.0146789872975921	0.00987183356270812	YKL057C/YML103C/YAR002W/YDR159W	4
CC	GO:0030686	90S preribosome	3/39	12/1474	0.00319644323532046	0.0172607934707305	0.011608135959848	YOR078W/YMR014W/YDR083W	3
CC	GO:0030688	preribosome, small subunit precursor	2/39	4/1474	0.00395943081501614	0.0203627870486544	0.0136942719917851	YGR271C-A/YKL143W	2
CC	GO:0005694	chromosome	13/39	230/1474	0.00423538516188687	0.0207918907947174	0.013982850534459	YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YIL009C-A/YDR174W/YDR318W/YML062C/YML032C/YPL024W/YDR083W/YMR190C	13
CC	GO:0015935	small ribosomal subunit	2/39	5/1474	0.00648883009110405	0.0280317459935695	0.0188517590015234	YLR048W/YKR057W	2
CC	GO:0022627	cytosolic small ribosomal subunit	2/39	5/1474	0.00648883009110405	0.0280317459935695	0.0188517590015234	YLR048W/YKR057W	2
CC	GO:0070390	transcription export complex 2	2/39	5/1474	0.00648883009110405	0.0280317459935695	0.0188517590015234	YDR159W/YOL072W	2
