ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006974	DNA damage response	25/78	214/1474	4.13758927145712e-05	0.000927854394124259	0.000766542854501529	YOR141C/YPL008W/YMR078C/YPR135W/YDR363W/YLR320W/YMR224C/YKL057C/YAR002W/YCR066W/YKL113C/YNL250W/YML032C/YGL163C/YDR004W/YPL024W/YOR014W/YHR154W/YLL002W/YDR159W/YMR190C/YDL013W/YER116C/YOL072W/YHR134W	25
BP	GO:0006278	RNA-templated DNA biosynthetic process	5/78	10/1474	7.47896109704541e-05	0.0016362507570853	0.00135178141522977	YLR233C/YIL009C-A/YNL250W/TLC1/YLR234W	5
BP	GO:0051028	mRNA transport	10/78	46/1474	8.335642254011e-05	0.00178025502424949	0.00147074991148465	YML062C/YPL226W/YKL057C/YML103C/YAR002W/YDR159W/YDR395W/YOL072W/YHR167W/YDR457W	10
BP	GO:0006405	RNA export from nucleus	9/78	39/1474	0.000119007713965503	0.0024825562657455	0.00205095301424026	YML062C/YPL226W/YKL057C/YML103C/YAR002W/YDR159W/YDR395W/YOL072W/YHR167W	9
BP	GO:0071897	DNA biosynthetic process	8/78	31/1474	0.000125771636366116	0.00256402631410015	0.00211825913879775	YLR233C/YIL009C-A/YCR066W/YNL250W/YML032C/TLC1/YLR234W/YHR134W	8
BP	GO:0000278	mitotic cell cycle	17/78	127/1474	0.000185911911445294	0.00370584410147618	0.0030615669159646	YER016W/YAL021C/YGL003C/YPL008W/YEL061C/YPL018W/YPR135W/YDR363W/YMR294W/YDR318W/YMR224C/YOR014W/YDR159W/YMR190C/YOL072W/YDR457W/YGL060W	17
BP	GO:0050657	nucleic acid transport	10/78	51/1474	0.000210242453652952	0.00392890585263955	0.00324584840727365	YML062C/YPL226W/YKL057C/YML103C/YAR002W/YDR159W/YDR395W/YOL072W/YHR167W/YDR457W	10
BP	GO:0050658	RNA transport	10/78	51/1474	0.000210242453652952	0.00392890585263955	0.00324584840727365	YML062C/YPL226W/YKL057C/YML103C/YAR002W/YDR159W/YDR395W/YOL072W/YHR167W/YDR457W	10
BP	GO:0051236	establishment of RNA localization	10/78	51/1474	0.000210242453652952	0.00392890585263955	0.00324584840727365	YML062C/YPL226W/YKL057C/YML103C/YAR002W/YDR159W/YDR395W/YOL072W/YHR167W/YDR457W	10
BP	GO:0000973	post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery	5/78	12/1474	0.000216058930762156	0.00395520124272763	0.00326757222892712	YKL057C/YAR002W/YOR001W/YDR159W/YOL072W	5
BP	GO:0034660	ncRNA metabolic process	16/78	119/1474	0.000283378773827541	0.00508381520246609	0.0041999717215703	YOR078W/YMR014W/YGL078C/YGR271C-A/YDL213C/YHR034C/YJR063W/YNL248C/YLR048W/YKR057W/YOR001W/YDR083W/YGR081C/YDR457W/YLR435W/YOR295W	16
BP	GO:0034470	ncRNA processing	13/78	87/1474	0.000402764773146733	0.00708392159828665	0.00585235088328792	YOR078W/YMR014W/YGL078C/YGR271C-A/YDL213C/YHR034C/YLR048W/YKR057W/YOR001W/YDR083W/YGR081C/YDR457W/YLR435W	13
BP	GO:0006265	DNA topological change	4/78	8/1474	0.000432574815634467	0.00746191556969456	0.00616462895155192	YDR174W/YPL024W/YMR190C/YLR234W	4
BP	GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	5/78	14/1474	0.000502080026358751	0.00834010710451481	0.00689014305178481	YKL057C/YAR002W/YOR001W/YDR159W/YOL072W	5
BP	GO:0034398	telomere tethering at nuclear periphery	5/78	14/1474	0.000502080026358751	0.00834010710451481	0.00689014305178481	YMR078C/YHR191C/YCL016C/YKL057C/YAR002W	5
BP	GO:0015931	nucleobase-containing compound transport	11/78	67/1474	0.00051590604885073	0.00841395865125644	0.00695115518451509	YKL143W/YML062C/YPL226W/YKL057C/YML103C/YAR002W/YDR159W/YDR395W/YOL072W/YHR167W/YDR457W	11
BP	GO:0006396	RNA processing	17/78	139/1474	0.000571724867633395	0.00915780725477063	0.00756568245890809	YOR078W/YMR014W/YGL078C/YGR271C-A/YML062C/YDL213C/YDR432W/YHR034C/YLR048W/YKR057W/YOR001W/YDR083W/YDR159W/YGR081C/YOL072W/YDR457W/YLR435W	17
BP	GO:0006403	RNA localization	10/78	58/1474	0.000633164136280895	0.00996400403936777	0.00823171841074331	YML062C/YPL226W/YKL057C/YML103C/YAR002W/YDR159W/YDR395W/YOL072W/YHR167W/YDR457W	10
BP	GO:0018205	peptidyl-lysine modification	5/78	15/1474	0.000722132056721229	0.0109788551674397	0.00907013323696245	YDR363W/YAR002W/YDL013W/YER116C/YHR134W	5
BP	GO:0034397	telomere localization	5/78	15/1474	0.000722132056721229	0.0109788551674397	0.00907013323696245	YMR078C/YHR191C/YCL016C/YKL057C/YAR002W	5
BP	GO:0051649	establishment of localization in cell	20/78	186/1474	0.000971790735224465	0.0145282714916058	0.0120024680280355	YER016W/YNR051C/YPL018W/YMR294W/YPL125W/YKL143W/YML062C/YPL226W/YKL057C/YML103C/YAR002W/YLR048W/YOR014W/YDR159W/YGR081C/YDR395W/YOL072W/YHR167W/YDR457W/YER151C	20
BP	GO:0048285	organelle fission	15/78	120/1474	0.00101356179303745	0.0149043430877803	0.0123131579343981	YER016W/YNL138W/YGL003C/YEL061C/YPL018W/YDR318W/YLR320W/YMR224C/YNL250W/YML032C/YGL163C/YOR014W/YMR190C/YLR182W/YLR234W	15
BP	GO:0000075	cell cycle checkpoint signaling	10/78	62/1474	0.00109620687121734	0.0158596381206767	0.0131023707527506	YER016W/YAL021C/YGL003C/YPL008W/YPL018W/YDR363W/YMR224C/YOR014W/YHR154W/YMR190C	10
BP	GO:0007093	mitotic cell cycle checkpoint signaling	8/78	42/1474	0.00116813867432524	0.0163721936073397	0.0135258162290291	YER016W/YGL003C/YPL008W/YPL018W/YDR363W/YMR224C/YOR014W/YMR190C	8
BP	GO:0051656	establishment of organelle localization	8/78	42/1474	0.00116813867432524	0.0163721936073397	0.0135258162290291	YER016W/YPL018W/YMR294W/YKL143W/YKL057C/YLR048W/YOR014W/YGR081C	8
BP	GO:0016925	protein sumoylation	4/78	10/1474	0.00119585708286032	0.0165028277434724	0.0136337390499379	YDR363W/YDL013W/YER116C/YHR134W	4
BP	GO:1901991	negative regulation of mitotic cell cycle phase transition	7/78	33/1474	0.00124189076193493	0.0168784244462975	0.0139440366252343	YER016W/YGL003C/YPL008W/YPL018W/YMR224C/YOR014W/YMR190C	7
BP	GO:1901988	negative regulation of cell cycle phase transition	10/78	64/1474	0.00141556954901873	0.0189517296338776	0.0156568886490052	YER016W/YAL021C/YGL003C/YPL008W/YPL018W/YDR363W/YMR224C/YOR014W/YHR154W/YMR190C	10
BP	GO:0010948	negative regulation of cell cycle process	11/78	77/1474	0.00173570389258505	0.0228959763477764	0.0189154108417938	YER016W/YAL021C/YGL003C/YPL008W/YPL018W/YDR363W/YDR318W/YMR224C/YOR014W/YHR154W/YMR190C	11
BP	GO:0032392	DNA geometric change	5/78	18/1474	0.00181671742690897	0.0236173265498166	0.0195113511600902	YPL008W/YCR066W/YNL250W/YGL163C/YMR190C	5
BP	GO:1903047	mitotic cell cycle process	14/78	116/1474	0.00216773285013042	0.0277779480938142	0.0229486304735612	YER016W/YAL021C/YGL003C/YPL008W/YEL061C/YPL018W/YDR363W/YMR294W/YDR318W/YMR224C/YOR014W/YMR190C/YOL072W/YGL060W	14
BP	GO:0000280	nuclear division	14/78	117/1474	0.00235769628914896	0.029754251087727	0.0245813445587747	YER016W/YGL003C/YEL061C/YPL018W/YDR318W/YLR320W/YMR224C/YNL250W/YML032C/YGL163C/YOR014W/YMR190C/YLR182W/YLR234W	14
BP	GO:0045786	negative regulation of cell cycle	11/78	80/1474	0.00238830109065368	0.029754251087727	0.0245813445587747	YER016W/YAL021C/YGL003C/YPL008W/YPL018W/YDR363W/YDR318W/YMR224C/YOR014W/YHR154W/YMR190C	11
BP	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3/78	6/1474	0.00254174489440061	0.0308100698686128	0.0254536046324044	YGL078C/YDR457W/YLR435W	3
BP	GO:0031145	anaphase-promoting complex-dependent catabolic process	3/78	6/1474	0.00254174489440061	0.0308100698686128	0.0254536046324044	YFR036W/YGL003C/YGL240W	3
BP	GO:0034085	establishment of sister chromatid cohesion	4/78	12/1474	0.00259810029586895	0.031016126090525	0.0256238370800089	YPL008W/YPL018W/YPR135W/YDR318W	4
BP	GO:0000056	ribosomal small subunit export from nucleus	2/78	2/1474	0.00276620968477369	0.031016126090525	0.0256238370800089	YKL143W/YGR081C	2
BP	GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2/78	2/1474	0.00276620968477369	0.031016126090525	0.0256238370800089	YLR048W/YKR057W	2
BP	GO:0009123	nucleoside monophosphate metabolic process	2/78	2/1474	0.00276620968477369	0.031016126090525	0.0256238370800089	YMR224C/YNL250W	2
BP	GO:0046940	nucleoside monophosphate phosphorylation	2/78	2/1474	0.00276620968477369	0.031016126090525	0.0256238370800089	YMR224C/YNL250W	2
BP	GO:0060628	regulation of ER to Golgi vesicle-mediated transport	2/78	2/1474	0.00276620968477369	0.031016126090525	0.0256238370800089	YNR051C/YER151C	2
BP	GO:0045930	negative regulation of mitotic cell cycle	8/78	48/1474	0.00288021439097374	0.0318957075148573	0.0263504994313907	YER016W/YGL003C/YPL008W/YPL018W/YDR363W/YMR224C/YOR014W/YMR190C	8
BP	GO:0046907	intracellular transport	18/78	175/1474	0.00310998398959684	0.0340201907154679	0.0281056319470626	YER016W/YNR051C/YMR294W/YPL125W/YKL143W/YML062C/YPL226W/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YGR081C/YDR395W/YOL072W/YHR167W/YDR457W/YER151C	18
BP	GO:0051301	cell division	12/78	96/1474	0.00344740070545988	0.0371502280198828	0.0306914985929677	YER016W/YFR036W/YGL003C/YEL061C/YPL018W/YGL240W/YDR318W/YLR320W/YLR315W/YPL024W/YOR014W/YOL072W	12
BP	GO:0000054	ribosomal subunit export from nucleus	4/78	13/1474	0.00360319937316589	0.0371502280198828	0.0306914985929677	YKL143W/YKL057C/YLR048W/YGR081C	4
BP	GO:0033750	ribosome localization	4/78	13/1474	0.00360319937316589	0.0371502280198828	0.0306914985929677	YKL143W/YKL057C/YLR048W/YGR081C	4
BP	GO:0043244	regulation of protein-containing complex disassembly	4/78	13/1474	0.00360319937316589	0.0371502280198828	0.0306914985929677	YER016W/YNL138W/YPL226W/YDR432W	4
BP	GO:0045003	double-strand break repair via synthesis-dependent strand annealing	4/78	13/1474	0.00360319937316589	0.0371502280198828	0.0306914985929677	YMR224C/YML032C/YGL163C/YDR004W	4
BP	GO:0031123	RNA 3'-end processing	5/78	21/1474	0.00380572730838624	0.0379304155069162	0.0313360470772387	YLR048W/YKR057W/YOR001W/YDR159W/YOL072W	5
BP	GO:0032535	regulation of cellular component size	5/78	21/1474	0.00380572730838624	0.0379304155069162	0.0313360470772387	YNL138W/YHR034C/YNL248C/YLR403W/YDR457W	5
BP	GO:0090066	regulation of anatomical structure size	5/78	21/1474	0.00380572730838624	0.0379304155069162	0.0313360470772387	YNL138W/YHR034C/YNL248C/YLR403W/YDR457W	5
BP	GO:0031990	mRNA export from nucleus in response to heat stress	3/78	7/1474	0.00427905680094184	0.0421792741807124	0.0348462231100411	YKL057C/YML103C/YAR002W	3
BP	GO:0035825	homologous recombination	8/78	52/1474	0.00483134343586362	0.0465990866878459	0.0384976319054668	YDR318W/YMR224C/YKL113C/YML032C/YGL163C/YMR190C/YLR182W/YLR234W	8
BP	GO:1901990	regulation of mitotic cell cycle phase transition	8/78	52/1474	0.00483134343586362	0.0465990866878459	0.0384976319054668	YER016W/YAL021C/YGL003C/YPL008W/YPL018W/YMR224C/YOR014W/YMR190C	8
BP	GO:0071025	RNA surveillance	4/78	15/1474	0.00634237985922238	0.0590849055493726	0.0488127366153357	YGR271C-A/YOR001W/YDR159W/YOL072W	4
BP	GO:0071027	nuclear RNA surveillance	4/78	15/1474	0.00634237985922238	0.0590849055493726	0.0488127366153357	YGR271C-A/YOR001W/YDR159W/YOL072W	4
BP	GO:0000819	sister chromatid segregation	6/78	33/1474	0.0063670269770751	0.0590849055493726	0.0488127366153357	YGL003C/YEL061C/YPL018W/YLR320W/YOR014W/YMR190C	6
BP	GO:0000727	double-strand break repair via break-induced replication	3/78	8/1474	0.00658694599212626	0.0590849055493726	0.0488127366153357	YPR135W/YMR224C/YML032C	3
BP	GO:0006611	protein export from nucleus	3/78	8/1474	0.00658694599212626	0.0590849055493726	0.0488127366153357	YKL057C/YAR002W/YDR159W	3
BP	GO:0031125	rRNA 3'-end processing	3/78	8/1474	0.00658694599212626	0.0590849055493726	0.0488127366153357	YLR048W/YKR057W/YOR001W	3
BP	GO:0051495	positive regulation of cytoskeleton organization	3/78	8/1474	0.00658694599212626	0.0590849055493726	0.0488127366153357	YER016W/YNL138W/YGL003C	3
BP	GO:0007127	meiosis I	8/78	55/1474	0.00686624763772797	0.0609804369410098	0.0503787215941688	YDR318W/YMR224C/YNL250W/YML032C/YGL163C/YMR190C/YLR182W/YLR234W	8
BP	GO:0007051	spindle organization	5/78	24/1474	0.00701389043418743	0.0610821331987002	0.0504627375132136	YER016W/YGL003C/YEL061C/YMR294W/YGL060W	5
BP	GO:0018193	peptidyl-amino acid modification	5/78	24/1474	0.00701389043418743	0.0610821331987002	0.0504627375132136	YDR363W/YAR002W/YDL013W/YER116C/YHR134W	5
BP	GO:0007131	reciprocal meiotic recombination	7/78	45/1474	0.00787753739313373	0.0641754472292306	0.0530182653868196	YDR318W/YMR224C/YML032C/YGL163C/YMR190C/YLR182W/YLR234W	7
BP	GO:0140527	reciprocal homologous recombination	7/78	45/1474	0.00787753739313373	0.0641754472292306	0.0530182653868196	YDR318W/YMR224C/YML032C/YGL163C/YMR190C/YLR182W/YLR234W	7
BP	GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2/78	3/1474	0.0080129878368716	0.0641754472292306	0.0530182653868196	YOR078W/YDR457W	2
BP	GO:0000966	RNA 5'-end processing	2/78	3/1474	0.0080129878368716	0.0641754472292306	0.0530182653868196	YOR078W/YDR457W	2
BP	GO:0000967	rRNA 5'-end processing	2/78	3/1474	0.0080129878368716	0.0641754472292306	0.0530182653868196	YOR078W/YDR457W	2
BP	GO:0006361	transcription initiation at RNA polymerase I promoter	2/78	3/1474	0.0080129878368716	0.0641754472292306	0.0530182653868196	YNL248C/YOR295W	2
BP	GO:0034471	ncRNA 5'-end processing	2/78	3/1474	0.0080129878368716	0.0641754472292306	0.0530182653868196	YOR078W/YDR457W	2
BP	GO:0097551	mitochondrial double-strand break repair	2/78	3/1474	0.0080129878368716	0.0641754472292306	0.0530182653868196	YMR224C/YNL250W	2
BP	GO:0097552	mitochondrial double-strand break repair via homologous recombination	2/78	3/1474	0.0080129878368716	0.0641754472292306	0.0530182653868196	YMR224C/YNL250W	2
BP	GO:0044773	mitotic DNA damage checkpoint signaling	4/78	16/1474	0.0081207767535482	0.0644631570613517	0.0532559556078056	YPL008W/YDR363W/YMR224C/YMR190C	4
