Geneid,Chr,Start,End,Strand,Length
YDR014W,IV,474046,475989,+,1944
YDR014W-A,IV,477797,478285,+,489
YDR015C,IV,477960,478199,-,240
YDR016C,IV,478474,478758,-,285
YDR017C,IV,479115,482267,-,3153
YDR018C,IV,482670,483860,-,1191
YDR019C,IV,484163,485365,-,1203
YDR020C,IV,485746,486444,-,699
YDR021W,IV,486804,488003,+,1200
YDR022C,IV,488072,488662,-,591
tV(UAC)D,IV,488797,488870,-,74
YDR023W,IV,489508,490896,+,1389
YDR024W,IV,491017,491502,+,486
YDR025W,IV;IV,491515;491899,491559;492324,+;+,471
YDR026C,IV,492556,494268,-,1713
YDR027C,IV,494649,497318,-,2670
YDR028C,IV,497835,500879,-,3045
YDR029W,IV,501100,501414,+,315
YDR030C,IV,501753,503273,-,1521
YDR031W,IV,503498,503863,+,366
YDR032C,IV,504099,504695,-,597
YDR033W,IV,508147,509109,+,963
YDR034C,IV,509737,512109,-,2373
YDR034C-D,IV;IV,514043;518064,518062;519356,-;-,5313
YDR034C-C,IV,518040,519356,-,1317
tL(UAA)D,IV,519743,519826,+,84
YDR034C-A,IV,520516,520692,-,177
tQ(UUG)D1,IV,520972,521043,+,72
YDR034W-B,IV,521314,521469,+,156
YDR035W,IV,521816,522928,+,1113
YDR036C,IV,523211,524713,-,1503
YDR037W,IV,525440,527215,+,1776
YDR038C,IV,527422,530697,-,3276
YDR039C,IV,531307,534582,-,3276
YDR040C,IV,535192,538467,-,3276
YDR041W,IV,539803,540414,+,612
YDR042C,IV,540601,541203,-,603
snR47,IV,541602,541700,-,99
YDR043C,IV,542674,543369,-,696
YDR044W,IV,546642,547628,+,987
YDR045C,IV,547978,548310,-,333
YDR046C,IV,548762,550576,-,1815
YDR047W,IV,551860,552948,+,1089
YDR048C,IV,553084,553398,-,315
YDR049W,IV,553254,555152,+,1899
YDR050C,IV,555726,556472,-,747
YDR051C,IV,557056,558060,-,1005
YDR052C,IV,558511,560625,-,2115
YDR053W,IV,560249,560644,+,396
YDR054C,IV,561440,562327,-,888
YDR055W,IV,563527,564861,+,1335
YDR056C,IV,565023,565640,-,618
YDR057W,IV,565927,567555,+,1629
YDR058C,IV,567723,568703,-,981
tR(UCU)D,IV,568882,568953,+,72
tD(GUC)D,IV,568964,569035,+,72
YDR059C,IV;IV,569234;569724,569633;569770,-;-,447
YDR060W,IV,570649,573726,+,3078
YDR061W,IV,574164,575783,+,1620
YDR062W,IV,576474,578159,+,1686
YDR063W,IV,578663,579112,+,450
YDR064W,IV;IV,579458;580018,579478;580452,+;+,456
YDR065W,IV,580687,581784,+,1098
YDR066C,IV,581908,582498,-,591
YDR067C,IV,582791,583465,-,675
YDR068W,IV,583713,584645,+,933
YDR069C,IV,584939,587719,-,2781
YDR070C,IV,588098,588379,-,282
YDR071C,IV,588827,589402,-,576
YDR072C,IV,589761,591344,-,1584
YDR073W,IV,592439,592948,+,510
YDR074W,IV,593893,596583,+,2691
YDR075W,IV,597156,598082,+,927
YDR076W,IV,598468,599688,+,1221
YDR077W,IV,600793,601809,+,1017
YDR078C,IV,602198,602869,-,672
YDR079W,IV,603064,603399,+,336
YDR079C-A,IV,603593,603811,-,219
YDR080W,IV,604008,606986,+,2979
YDR081C,IV,607304,610081,-,2778
YDR082W,IV,610441,611925,+,1485
YDR083W,IV,612073,613251,+,1179
YDR084C,IV,613405,614004,-,600
YDR085C,IV,614288,616150,-,1863
YDR086C,IV,616928,617170,-,243
YDR087C,IV,617470,618306,-,837
YDR088C,IV,618497,619645,-,1149
tR(ACG)D,IV,619969,620041,-,73
YDR089W,IV,622112,624721,+,2610
YDR090C,IV,625066,625998,-,933
YDR091C,IV,626708,628534,-,1827
YDR092W,IV;IV,629876;630174,629905;630605,+;+,462
YDR093W,IV,631282,636120,+,4839
YDR094W,IV,635840,636175,+,336
YDR095C,IV,636117,636527,-,411
YDR096W,IV,637139,639823,+,2685
YDR097C,IV,640109,643837,-,3729
YDR098C,IV,644178,645035,-,858
tQ(UUG)D2,IV,645153,645224,-,72
YDR098C-B,IV;IV,645858;649822,649820;651126,-;-,5268
YDR098C-A,IV,649804,651126,-,1323
YDR099W,IV,653607,654428,+,822
YDR100W,IV,655013,655444,+,432
YDR101C,IV,655686,657467,-,1782
YDR102C,IV,657648,657980,-,333
YDR103W,IV,658350,661103,+,2754
YDR104C,IV,661173,664910,-,3738
YDR105C,IV,665349,666770,-,1422
YDR106W,IV,667004,667858,+,855
tI(AAU)D,IV,668007,668080,-,74
YDR107C,IV,669016,671034,-,2019
YDR108W,IV,671269,673365,+,2097
YDR109C,IV,673520,675667,-,2148
YDR110W,IV,676102,677802,+,1701
YDR111C,IV,678241,679764,-,1524
YDR112W,IV,679544,679852,+,309
YDR113C,IV,680496,681617,-,1122
YDR114C,IV,681924,682226,-,303
YDR115W,IV,682175,682492,+,318
YDR116C,IV,682724,683581,-,858
YDR117C,IV,683946,685643,-,1698
YDR118W,IV,685882,687840,+,1959
YDR118W-A,IV,687768,687884,+,117
YDR119W,IV,688227,690533,+,2307
YDR119W-A,IV,691014,691214,+,201
YDR120C,IV,691549,693261,-,1713
YDR121W,IV,693585,694175,+,591
YDR122W,IV,694700,697894,+,3195
YDR123C,IV,698554,699468,-,915
YDR124W,IV,700315,701289,+,975
YDR125C,IV,701397,702758,-,1362
YDR126W,IV,703234,704244,+,1011
YDR127W,IV,704484,709250,+,4767
YDR128W,IV,709549,712995,+,3447
YDR129C,IV;IV,713340;715359,715247;715379,-;-,1929
YDR130C,IV,715747,716622,-,876
YDR131C,IV,716790,718460,-,1671
YDR132C,IV,718816,720303,-,1488
YDR133C,IV,720962,721297,-,336
YDR134C,IV,721071,721481,-,411
YDR135C,IV,723004,727551,-,4548
YDR136C,IV,727711,728283,-,573
YDR137W,IV,728259,730250,+,1992
YDR138W,IV,730578,732836,+,2259
YDR139C,IV;IV,733618;733776,733702;733924,-;-,234
YDR140W,IV,734138,734803,+,666
YDR141C,IV,734901,739997,-,5097
YDR142C,IV,740473,741600,-,1128
YDR143C,IV,742042,743874,-,1833
YDR144C,IV,744311,746101,-,1791
YDR145W,IV,746738,748357,+,1620
YDR146C,IV,748613,750742,-,2130
YDR147W,IV,751631,753235,+,1605
YDR148C,IV,753675,755066,-,1392
YDR149C,IV,755555,756262,-,708
YDR150W,IV,755628,763874,+,8247
YDR151C,IV,764178,765155,-,978
YDR152W,IV,765706,766503,+,798
YDR153C,IV,766736,767971,-,1236
YDR154C,IV,768403,768753,-,351
YDR155C,IV,768512,769000,-,489
YDR156W,IV,769525,769938,+,414
YDR157W,IV,769931,770332,+,402
YDR158W,IV,770357,771454,+,1098
YDR159W,IV,771877,775782,+,3906
YDR160W,IV,776163,778721,+,2559
YDR161W,IV,779043,780206,+,1164
YDR162C,IV,780390,781100,-,711
YDR163W,IV,781423,781950,+,528
YDR164C,IV,782041,784215,-,2175
YDR165W,IV,784871,786205,+,1335
YDR166C,IV,786306,789221,-,2916
YDR167W,IV,789449,790069,+,621
YDR168W,IV,790328,791848,+,1521
YDR169C,IV,792348,793889,-,1542
YDR169C-A,IV,794574,794723,-,150
YDR170C,IV,796193,802222,-,6030
tQ(UUG)D3,IV,802731,802802,-,72
YDR170W-A,IV,803195,804517,+,1323
YDR171W,IV,806621,807748,+,1128
YDR172W,IV,808324,810381,+,2058
YDR173C,IV,810565,811632,-,1068
YDR174W,IV,812110,812850,+,741
YDR175C,IV,813193,814152,-,960
YDR176W,IV,814452,816560,+,2109
YDR177W,IV,816878,817525,+,648
YDR178W,IV,817950,818495,+,546
YDR179C,IV,818708,819196,-,489
YDR179W-A,IV,819433,820824,+,1392
YDR180W,IV,821295,825776,+,4482
YDR181C,IV,825910,827355,-,1446
YDR182W,IV,827582,829057,+,1476
YDR182W-A,IV,829151,829354,+,204
YDR183W,IV,829585,830277,+,693
YDR183C-A,IV,830397,830654,-,258
YDR184C,IV,830629,831513,-,885
YDR185C,IV,831934,832473,-,540
YDR186C,IV,832859,835492,-,2634
YDR187C,IV,836228,836746,-,519
YDR188W,IV,836421,838061,+,1641
YDR189W,IV,838392,840392,+,2001
YDR190C,IV,840604,841995,-,1392
YDR191W,IV,842337,843449,+,1113
YDR192C,IV,843569,844861,-,1293
YDR193W,IV,844554,844952,+,399
YDR194C,IV,845952,847946,-,1995
YDR194W-A,IV,848071,848223,+,153
YDR195W,IV,848599,850200,+,1602
YDR196C,IV,850274,850999,-,726
YDR197W,IV,851228,852397,+,1170
YDR198C,IV,852533,853972,-,1440
YDR199W,IV,854175,854540,+,366
YDR200C,IV,854279,856093,-,1815
YDR201W,IV,856317,856814,+,498
YDR202C,IV,856898,857953,-,1056
YDR203W,IV,857682,857999,+,318
YDR204W,IV,858137,859144,+,1008
YDR205W,IV,859346,861520,+,2175
YDR206W,IV,862054,864708,+,2655
YDR207C,IV,865012,867522,-,2511
YDR208W,IV,868224,870563,+,2340
YDR209C,IV,871036,871449,-,414
YDR210W,IV,871074,871301,+,228
YDR210W-B,IV;IV,872112;873406,873404;877425,+;+,5313
YDR210W-A,IV,872112,873428,+,1317
YDR210C-D,IV;IV,878659;882623,882621;883927,-;-,5268
YDR210C-C,IV,882605,883927,-,1323
tI(UAU)D,IV;IV,884361;884458,884397;884493,+;+,73
YDR211W,IV,884727,886865,+,2139
YDR212W,IV,887232,888911,+,1680
YDR213W,IV,889751,892492,+,2742
YDR214W,IV,892875,893927,+,1053
YDR215C,IV,894089,894502,-,414
YDR216W,IV,895035,899006,+,3972
YDR217C,IV,899551,903480,-,3930
YDR218C,IV,903781,905052,-,1272
YDR219C,IV,905455,906852,-,1398
YDR220C,IV,907000,907293,-,294
YDR221W,IV,907330,909438,+,2109
YDR222W,IV,910054,911301,+,1248
YDR223W,IV,912099,913502,+,1404
YDR224C,IV,914317,914712,-,396
YDR225W,IV,915530,915928,+,399
YDR226W,IV,916486,917154,+,669
YDR227W,IV,917571,921647,+,4077
YDR228C,IV,921926,923806,-,1881
YDR229W,IV,924785,926146,+,1362
YDR230W,IV,926223,926570,+,348
YDR231C,IV,926293,926910,-,618
YDR232W,IV,927452,929098,+,1647
YDR233C,IV,929470,930357,-,888
YDR234W,IV,931129,933210,+,2082
YDR235W,IV,933504,935138,+,1635
YDR236C,IV,935236,935892,-,657
YDR237W,IV,936615,937493,+,879
YDR238C,IV,937895,940816,-,2922
YDR239C,IV,941057,943420,-,2364
YDR240C,IV,943674,945152,-,1479
YDR241W,IV,945151,945438,+,288
tY(GUA)D,IV;IV,946312;946365,946350;946400,+;+,75
YDR242W,IV,946807,948456,+,1650
YDR243C,IV,948518,950284,-,1767
YDR244W,IV,950563,952401,+,1839
YDR245W,IV,952800,953981,+,1182
YDR246W,IV,954288,954947,+,660
YDR246W-A,IV,955133,955333,+,201
YDR247W,IV,956013,957398,+,1386
YDR248C,IV,957758,958339,-,582
YDR249C,IV,958681,959802,-,1122
YDR250C,IV,960086,960361,-,276
YDR251W,IV,960614,963106,+,2493
YDR252W,IV,963412,963861,+,450
YDR253C,IV,963990,964565,-,576
YDR254W,IV,965113,966489,+,1377
YDR255C,IV,966557,967822,-,1266
YDR256C,IV,968133,969680,-,1548
YDR257C,IV,969990,971474,-,1485
YDR258C,IV,971808,974243,-,2436
YDR259C,IV,974631,975782,-,1152
YDR260C,IV,976717,977229,-,513
YDR261C,IV,977521,979209,-,1689
tS(AGA)D2,IV,980974,981055,-,82
YDR261W-A,IV,981462,982778,+,1317
YDR261W-B,IV;IV,981462;982756,982754;986775,+;+,5313
YDR261C-D,IV;IV,987534;991045,991043;992349,-;-,4815
YDR261C-C,IV,991027,992349,-,1323
tG(GCC)D2,IV,992832,992902,+,71
YDR262W,IV,993134,993952,+,819
YDR263C,IV,994242,995534,-,1293
YDR264C,IV,996029,998323,-,2295
YDR265W,IV,998864,999877,+,1014
YDR266C,IV,1000104,1002023,-,1920
YDR267C,IV,1002510,1003502,-,993
YDR268W,IV,1004004,1005143,+,1140
YDR269C,IV,1005665,1005988,-,324
YDR270W,IV,1005675,1008689,+,3015
YDR271C,IV,1008395,1008766,-,372
YDR272W,IV,1009010,1009834,+,825
YDR273W,IV,1010176,1011273,+,1098
YDR274C,IV,1011589,1011960,-,372
YDR275W,IV,1012252,1012959,+,708
YDR276C,IV,1013476,1013643,-,168
YDR277C,IV,1014401,1015702,-,1302
YDR278C,IV,1017001,1017318,-,318
tE(CUC)D,IV,1017207,1017278,-,72
YDR279W,IV,1019368,1020420,+,1053
YDR280W,IV,1020747,1021664,+,918
YDR281C,IV,1022007,1022321,-,315
YDR282C,IV,1023511,1024755,-,1245
YDR283C,IV,1025070,1030049,-,4980
YDR284C,IV,1030550,1031419,-,870
YDR285W,IV,1032436,1035063,+,2628
YDR286C,IV,1035231,1035575,-,345
YDR287W,IV,1035995,1036873,+,879
YDR288W,IV,1037195,1038106,+,912
YDR289C,IV,1038280,1039509,-,1230
YDR290W,IV,1039370,1039699,+,330
YDR291W,IV,1039728,1042961,+,3234
YDR292C,IV,1043146,1045011,-,1866
YDR293C,IV,1045640,1049392,-,3753
YDR294C,IV,1050459,1052228,-,1770
YDR295C,IV,1052623,1054647,-,2025
YDR296W,IV,1055212,1055892,+,681
YDR297W,IV,1056551,1057600,+,1050
YDR298C,IV,1058176,1058814,-,639
YDR299W,IV,1059627,1061231,+,1605
YDR300C,IV,1061505,1062791,-,1287
YDR301W,IV,1063352,1067425,+,4074
YDR302W,IV,1067731,1068390,+,660
YDR303C,IV,1068729,1071386,-,2658
YDR304C,IV,1071880,1072557,-,678
YDR305C,IV;IV,1072746;1073402,1073312;1073488,-;-,654
YDR306C,IV,1073735,1075171,-,1437
tV(CAC)D,IV,1075472,1075544,-,73
YDR307W,IV,1075865,1077853,+,1989
YDR308C,IV,1078027,1078449,-,423
YDR309C,IV,1079048,1080199,-,1152
YDR310C,IV,1081128,1084316,-,3189
YDR311W,IV,1085065,1086993,+,1929
YDR312W,IV,1087581,1088942,+,1362
YDR313C,IV,1089219,1090079,-,861
YDR314C,IV,1090433,1092511,-,2079
YDR315C,IV,1092741,1093586,-,846
YDR316W,IV,1093763,1095178,+,1416
tF(GAA)D,IV;IV,1095370;1095425,1095405;1095461,-;-,73
YDR316W-A,IV,1096064,1097386,+,1323
YDR316W-B,IV;IV,1096064;1097370,1097368;1101332,+;+,5268
YDR317W,IV,1102184,1103428,+,1245
YDR318W,IV;IV,1103758;1103893,1103809;1104947,+;+,1107
YDR319C,IV,1105003,1105827,-,825
YDR320C,IV,1106095,1108101,-,2007
YDR320C-A,IV,1108280,1108498,-,219
YDR320W-B,IV,1108484,1108621,+,138
YDR321W,IV,1108702,1109847,+,1146
YDR322W,IV,1110589,1111692,+,1104
YDR322C-A,IV,1112003,1112293,-,291
YDR323C,IV,1112480,1114027,-,1548
YDR324C,IV,1114433,1116763,-,2331
YDR325W,IV,1117126,1120233,+,3108
YDR326C,IV,1120609,1124925,-,4317
YDR327W,IV,1125302,1125628,+,327
YDR328C,IV,1125434,1126018,-,585
YDR329C,IV,1126270,1127595,-,1326
YDR330W,IV,1127872,1129374,+,1503
YDR331W,IV,1129588,1130823,+,1236
YDR332W,IV,1131001,1133070,+,2070
YDR333C,IV,1133260,1135431,-,2172
YDR334W,IV,1135932,1140476,+,4545
YDR335W,IV,1141168,1144842,+,3675
YDR336W,IV,1145092,1146036,+,945
YDR337W,IV,1146319,1147179,+,861
YDR338C,IV,1147379,1149466,-,2088
YDR339C,IV,1149951,1150520,-,570
tX(XXX)D,IV,1150842,1150941,-,100
YDR340W,IV,1150881,1151183,+,303
YDR341C,IV,1151803,1153626,-,1824
YDR342C,IV,1154216,1155928,-,1713
YDR343C,IV,1159608,1161320,-,1713
YDR344C,IV,1162006,1162449,-,444
YDR345C,IV,1162957,1164660,-,1704
YDR346C,IV,1167214,1168659,-,1446
YDR347W,IV,1169178,1170143,+,966
YDR348C,IV,1170326,1171825,-,1500
YDR349C,IV,1172386,1174176,-,1791
tM(CAU)D,IV,1175829,1175901,+,73
YDR350C,IV,1176120,1178174,-,2055
YDR351W,IV,1178666,1181260,+,2595
YDR352W,IV,1181801,1182754,+,954
YDR353W,IV,1183299,1184258,+,960
YDR354W,IV,1184747,1185889,+,1143
YDR354C-A,IV,1185139,1185282,-,144
YDR355C,IV,1186067,1186369,-,303
YDR356W,IV,1186107,1188941,+,2835
